127.0.0.1 - - [01/Jul/2021:17:05:15 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [01/Jul/2021:17:05:16 +0900] "GET /MoneyDiary/MoneyDiary/material_able-main/auth-normal-sign-in.jsp HTTP/1.1" 200 10677
0:0:0:0:0:0:0:1 - - [01/Jul/2021:17:05:16 +0900] "GET /MoneyDiary/MoneyDiary/material_able-main/assets/icon/themify-icons/themify-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:17:05:16 +0900] "GET /MoneyDiary/MoneyDiary/material_able-main/assets/pages/waves/css/waves.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:17:05:16 +0900] "GET /MoneyDiary/MoneyDiary/material_able-main/assets/css/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:17:05:16 +0900] "GET /MoneyDiary/MoneyDiary/material_able-main/assets/icon/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:17:05:16 +0900] "GET /MoneyDiary/MoneyDiary/material_able-main/assets/js/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:17:05:16 +0900] "GET /MoneyDiary/MoneyDiary/material_able-main/assets/js/jquery-ui/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:17:05:16 +0900] "GET /MoneyDiary/MoneyDiary/material_able-main/assets/js/popper.js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:17:05:16 +0900] "GET /MoneyDiary/MoneyDiary/material_able-main/assets/icon/icofont/css/icofont.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:17:05:16 +0900] "GET /MoneyDiary/MoneyDiary/material_able-main/assets/pages/waves/js/waves.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:17:05:16 +0900] "GET /MoneyDiary/MoneyDiary/material_able-main/assets/css/style.css HTTP/1.1" 200 263114
0:0:0:0:0:0:0:1 - - [01/Jul/2021:17:05:16 +0900] "GET /MoneyDiary/MoneyDiary/material_able-main/assets/js/jquery-slimscroll/jquery.slimscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:17:05:16 +0900] "GET /MoneyDiary/MoneyDiary/material_able-main/assets/js/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:17:05:16 +0900] "GET /MoneyDiary/MoneyDiary/material_able-main/assets/js/common-pages.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:17:05:16 +0900] "GET /MoneyDiary/MoneyDiary/material_able-main/assets/icon/icofont/fonts/icofont.ttf?v=1.0.0-beta HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:17:05:16 +0900] "GET /MoneyDiary/MoneyDiary/material_able-main/assets/images/favicon.ico HTTP/1.1" 404 893
