127.0.0.1 - - [03/Aug/2021:08:51:27 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Aug/2021:08:51:28 +0900] "GET /MoneyDiary/MoneyDiary/material_able-main/auth-normal-sign-in.jsp HTTP/1.1" 200 10677
0:0:0:0:0:0:0:1 - - [03/Aug/2021:08:51:28 +0900] "GET /MoneyDiary/MoneyDiary/material_able-main/assets/js/jquery-ui/jquery-ui.min.js HTTP/1.1" 200 253669
0:0:0:0:0:0:0:1 - - [03/Aug/2021:08:51:28 +0900] "GET /MoneyDiary/MoneyDiary/material_able-main/assets/js/jquery/jquery.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [03/Aug/2021:08:51:28 +0900] "GET /MoneyDiary/MoneyDiary/material_able-main/assets/js/jquery-slimscroll/jquery.slimscroll.js HTTP/1.1" 200 13832
0:0:0:0:0:0:0:1 - - [03/Aug/2021:08:51:28 +0900] "GET /MoneyDiary/MoneyDiary/material_able-main/assets/pages/waves/js/waves.min.js HTTP/1.1" 200 6227
0:0:0:0:0:0:0:1 - - [03/Aug/2021:08:51:28 +0900] "GET /MoneyDiary/MoneyDiary/material_able-main/assets/js/common-pages.js HTTP/1.1" 200 2367
0:0:0:0:0:0:0:1 - - [03/Aug/2021:08:51:28 +0900] "GET /MoneyDiary/MoneyDiary/material_able-main/assets/js/popper.js/popper.min.js HTTP/1.1" 200 19208
0:0:0:0:0:0:0:1 - - [03/Aug/2021:08:51:28 +0900] "GET /MoneyDiary/MoneyDiary/material_able-main/assets/js/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 48887
0:0:0:0:0:0:0:1 - - [03/Aug/2021:08:51:28 +0900] "GET /MoneyDiary/MoneyDiary/material_able-main/assets/icon/icofont/fonts/icofont.ttf?v=1.0.0-beta HTTP/1.1" 200 1018620
0:0:0:0:0:0:0:1 - - [03/Aug/2021:08:51:28 +0900] "GET /MoneyDiary/MoneyDiary/material_able-main/assets/images/favicon.ico HTTP/1.1" 404 893
